empleado_id,ausencia,dia_semana,tardanza_min,mes,anio,dia_mes,semana_anio,es_viernes,es_lunes,es_fin_semana,tarde,muy_tarde
0.0,0,0,-1.0,3.0,2025.0,2.0,9,0,1,0,0,0
0.0,2,1,16.0,4.0,2025.0,2.0,14,0,0,0,1,0
0.0,0,2,14.0,5.0,2025.0,2.0,18,0,0,0,0,0
0.0,0,3,3.0,6.0,2025.0,2.0,23,0,0,0,0,0
0.0,0,4,10.0,7.0,2025.0,2.0,27,1,0,0,0,0
0.0,2,0,28.0,10.0,2025.0,2.0,40,0,1,0,1,0
0.0,0,1,-6.0,11.0,2025.0,2.0,44,0,0,0,0,0
0.0,0,2,0.0,12.0,2025.0,2.0,49,0,0,0,0,0
0.0,2,3,22.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0,4,-3.0,0.0,0.0,0.0,0,1,0,0,0,0
0.0,0,0,-7.0,0.0,0.0,0.0,0,0,1,0,0,0
0.0,0,1,15.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0,2,5.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,0,3,-8.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,2,4,24.0,0.0,0.0,0.0,0,1,0,0,1,0
0.0,0,0,2.0,0.0,0.0,0.0,0,0,1,0,0,0
0.0,2,1,20.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,0,2,10.0,0.0,0.0,0.0,0,0,0,0,0,0
0.0,2,3,18.0,0.0,0.0,0.0,0,0,0,0,1,0
0.0,2,4,27.0,0.0,0.0,0.0,0,1,0,0,1,0
0.0,0,0,-3.0,3.0,2025.0,3.0,10,0,1,0,0,0
0.0,2,1,21.0,4.0,2025.0,3.0,14,0,0,0,1,0
0.0,0,2,-2.0,5.0,2025.0,3.0,18,0,0,0,0,0
0.0,0,3,3.0,6.0,2025.0,3.0,23,0,0,0,0,0
0.0,0,4,-9.0,7.0,2025.0,3.0,27,1,0,0,0,0
0.0,0,0,13.0,10.0,2025.0,3.0,40,0,1,0,0,0
